시도,시군구,발생건수,사망자수,부상자수,중상,경상,부상신고
서울,종로구,93,1,114,28,52,34
서울,중구,72,1,87,33,38,16
서울,용산구,103,3,118,38,66,14
서울,성동구,126,3,150,40,93,17
서울,동대문구,198,1,229,61,137,31
서울,성북구,164,3,196,50,104,42
서울,도봉구,79,0,89,26,39,24
서울,은평구,96,1,126,23,67,36
서울,서대문구,104,1,121,21,63,37
서울,마포구,99,2,129,32,78,19
서울,강서구,125,2,188,50,99,39
서울,구로구,166,1,233,46,166,21
서울,영등포구,244,1,304,39,207,58
서울,동작구,156,1,187,40,99,48
서울,관악구,144,2,194,46,118,30
서울,강남구,194,2,243,54,151,38
서울,강동구,90,0,108,29,49,30
서울,송파구,188,1,219,45,109,65
서울,서초구,120,3,144,38,71,35
서울,양천구,97,3,118,29,64,25
서울,중랑구,199,1,258,67,126,65
서울,노원구,118,2,138,30,71,37
서울,광진구,94,0,117,36,69,12
서울,강북구,161,0,254,53,192,9
서울,금천구,101,0,131,32,82,17
부산,중구,48,1,51,17,27,7
부산,서구,51,2,60,14,33,13
부산,동구,45,0,59,14,25,20
부산,영도구,48,2,51,15,30,6
부산,부산진구,231,6,280,76,100,104
부산,동래구,83,1,98,32,49,17
부산,남구,67,3,81,28,43,10
부산,북구,58,1,74,23,40,11
부산,해운대구,66,3,85,26,43,16
부산,사하구,127,2,166,56,85,25
부산,금정구,62,0,79,18,41,20
부산,강서구,19,0,21,7,10,4
부산,연제구,47,0,61,19,36,6
부산,수영구,70,0,84,22,39,23
부산,사상구,101,5,133,40,63,30
부산,기장군,24,1,34,11,19,4
경기,수원시,328,4,386,95,228,63
경기,성남시,246,5,314,79,175,60
경기,의정부시,117,0,144,36,75,33
경기,안양시,114,2,144,43,81,20
경기,부천시,282,1,360,85,231,44
경기,안산시,233,1,310,71,201,38
경기,평택시,195,11,259,54,149,56
경기,광명시,87,2,103,23,48,32
경기,구리시,40,1,49,17,27,5
경기,양주시,44,1,53,15,30,8
경기,여주시,24,1,25,10,9,6
경기,화성시,132,11,165,50,98,17
경기,시흥시,133,3,177,47,109,21
경기,파주시,77,4,93,38,43,12
경기,고양시,281,5,344,71,164,109
경기,광주시,69,4,76,15,47,14
경기,연천군,11,0,14,4,9,1
경기,포천시,27,1,40,10,26,4
경기,가평군,16,1,23,7,11,5
경기,양평군,34,2,40,13,24,3
경기,이천시,73,0,84,30,41,13
경기,용인시,153,3,192,60,85,47
경기,안성시,60,1,70,25,37,8
경기,김포시,112,6,157,48,92,17
경기,동두천시,19,0,25,10,13,2
경기,과천시,11,0,12,2,2,8
경기,군포시,55,1,71,19,31,21
경기,남양주시,158,5,220,40,144,36
경기,오산시,81,0,93,29,42,22
경기,의왕시,14,0,17,5,8,4
경기,하남시,78,0,101,21,54,26
강원,춘천시,72,5,91,18,61,12
강원,원주시,74,2,99,32,55,12
강원,동해시,12,2,15,5,10,0
강원,강릉시,15,0,17,7,10,0
강원,속초시,11,0,17,5,12,0
강원,태백시,2,0,2,1,0,1
강원,삼척시,13,0,16,3,13,0
강원,홍천군,18,0,22,6,13,3
강원,횡성군,11,1,12,3,8,1
